A	m_avg	m_std	f_avg	f_std	z_avg	z_std	mc	samples
400	39.420000	3.726070	41.360000	4.444097	38.630000	3.804353	0.000000	100.000000
500	31.610000	5.145668	33.550000	5.619609	30.820000	5.256196	0.000000	100.000000
600	25.040000	5.114528	26.970000	5.471746	24.250000	5.263791	0.000000	100.000000
700	20.420000	4.697191	22.340000	5.109795	19.640000	4.848752	0.000000	100.000000
800	16.640000	4.203617	18.540000	4.632494	15.870000	4.399216	0.000000	100.000000
900	13.840000	4.004298	15.730000	4.579301	13.070000	4.174338	0.000000	100.000000
1000	11.610000	3.949418	13.480000	4.705316	10.840000	4.078529	0.000000	100.000000
1100	10.010000	3.653751	11.830000	4.550824	9.280000	3.723117	0.000000	100.000000
1200	8.670000	3.438183	10.410000	4.373786	7.950000	3.496784	0.000000	100.000000
1300	7.770000	3.045833	9.410000	4.043513	7.060000	3.075126	0.000000	100.000000
1400	6.700000	2.840775	8.270000	3.959798	6.010000	2.837235	0.000000	100.000000
1500	5.860000	2.557421	7.340000	3.814446	5.180000	2.519444	0.000000	100.000000
1600	5.400000	2.501999	6.760000	3.700000	4.750000	2.414022	0.000000	100.000000
1700	4.920000	2.335294	6.190000	3.458323	4.310000	2.234704	0.000000	100.000000
1800	4.510000	2.251644	5.780000	3.451087	3.910000	2.102831	0.000000	100.000000
1900	4.010000	2.066374	5.200000	3.190611	3.445000	1.935065	0.010000	100.000000
2000	3.650000	2.016804	4.760000	3.143247	3.105000	1.863189	0.010000	100.000000
2100	3.290000	1.818213	4.320000	2.901724	2.750000	1.665083	0.020000	100.000000
2200	3.030000	1.693842	3.880000	2.501999	2.560000	1.575246	0.020000	100.000000
2300	2.820000	1.645479	3.610000	2.416609	2.365000	1.503088	0.010000	100.000000
2400	2.640000	1.565375	3.370000	2.317326	2.220000	1.418309	0.000000	100.000000
2500	2.500000	1.486607	3.120000	2.236068	2.140000	1.319242	0.000000	100.000000
2600	2.370000	1.439826	2.940000	2.140093	2.030000	1.268503	0.000000	100.000000
2700	2.300000	1.352775	2.820000	1.967232	1.960000	1.182540	0.000000	100.000000
2800	2.200000	1.272792	2.680000	1.824829	1.870000	1.064472	0.000000	100.000000
2900	2.160000	1.230610	2.620000	1.720465	1.850000	1.052378	0.000000	100.000000
3000	2.070000	1.176903	2.500000	1.726268	1.770000	0.978315	0.000000	100.000000
3100	1.970000	1.126543	2.350000	1.493318	1.680000	0.936803	0.000000	100.000000
3200	1.920000	1.055272	2.260000	1.403567	1.660000	0.885664	0.000000	100.000000
3300	1.878788	1.017749	2.212121	1.392621	1.626263	0.871384	0.000000	99.000000
3400	1.868687	0.981099	2.212121	1.363300	1.606061	0.838688	0.000000	99.000000
