A	m_avg	m_std	f_avg	f_std	z_avg	z_std	mc	samples
400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
3000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
3100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
3200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
3300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
3400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
3500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
3600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
3700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
3800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
3900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
4000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
4100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
4200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
4300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
4400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
4500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
4600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
4700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
4800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
4900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
5000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
5100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
5200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
5300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
5400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
5500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
5600	41.285714	6.085837	699422.297619	1090954.385887	10.749008	3.533791	0.797619	84.000000
5700	39.830000	5.976713	668690.900000	1219233.157566	10.098333	3.307155	0.720000	100.000000
5800	38.680000	6.013119	597668.290000	1119825.137206	9.824386	3.294888	0.790000	100.000000
5900	37.460000	6.028963	531237.460000	1010859.649182	9.572000	3.322532	0.710000	100.000000
6000	36.320000	5.969724	471993.050000	898538.297479	9.219467	3.254957	0.650000	100.000000
6100	35.030000	5.722683	425105.280000	820605.217638	8.807556	3.075411	0.640000	100.000000
6200	34.000000	5.605355	384379.750000	762869.550382	8.446239	2.898547	0.660000	100.000000
6300	33.100000	5.624055	348696.190000	708864.169590	8.326162	2.995007	0.550000	100.000000
6400	32.250000	5.598884	312904.460000	650471.842209	7.935576	2.905257	0.590000	100.000000
6500	31.380000	5.505960	280225.370000	592202.577319	7.646643	2.820339	0.550000	100.000000
6600	30.570000	5.367038	249142.020000	530943.780973	7.450000	2.832034	0.560000	100.000000
6700	29.720000	5.319925	221250.370000	473606.621590	7.228333	2.799445	0.480000	100.000000
6800	28.860000	5.120586	192243.800000	405641.470451	7.047262	2.522845	0.530000	100.000000
6900	28.130000	5.076721	165829.960000	346712.631921	6.866667	2.376973	0.490000	100.000000
7000	27.510000	4.994987	143934.620000	294677.174580	6.830333	2.427940	0.490000	100.000000
7100	26.780000	4.734089	126347.540000	257611.925768	6.618333	2.277705	0.420000	100.000000
7200	26.020000	4.718008	110493.220000	223211.160738	6.441667	2.213892	0.410000	100.000000
7300	25.270000	4.569147	96232.060000	192756.127881	6.300000	2.104888	0.400000	100.000000
7400	24.510000	4.491091	84387.800000	169415.213585	6.164500	2.127737	0.310000	100.000000
7500	23.820000	4.409943	74726.390000	150457.643931	5.943333	2.243041	0.300000	100.000000
7600	23.190000	4.415190	65308.580000	134856.313572	5.730884	2.158158	0.400000	100.000000
7700	22.510000	4.189260	57859.960000	123742.596003	5.537500	2.229174	0.350000	100.000000
7800	22.000000	4.074310	51970.690000	113663.202132	5.408333	2.093293	0.320000	100.000000
7900	21.560000	3.935276	45157.940000	100014.102579	5.357333	1.935465	0.280000	100.000000
8000	21.050000	3.945567	39675.130000	87987.809338	5.191667	1.962053	0.270000	100.000000
8100	20.540000	3.925353	35016.170000	79204.746800	5.031515	1.937311	0.320000	100.000000
8200	20.060000	3.859585	30696.250000	71659.596667	4.971818	1.875437	0.260000	100.000000
8300	19.580000	3.810984	27170.190000	63767.523372	4.955000	1.872291	0.260000	100.000000
8400	19.020000	3.828786	22956.940000	54473.536427	4.820000	1.745738	0.190000	100.000000
8500	18.560000	3.853103	19906.170000	48333.933059	4.717667	1.883304	0.170000	100.000000
8600	18.080000	3.751480	17822.180000	44427.269342	4.570000	1.794115	0.200000	100.000000
8700	17.550000	3.661625	16150.750000	41856.094192	4.403333	1.763548	0.210000	100.000000
8800	17.100000	3.401470	14571.100000	39246.735134	4.253333	1.684815	0.160000	100.000000
8900	16.820000	3.368620	13318.830000	37516.850068	4.240000	1.662047	0.170000	100.000000
9000	16.440000	3.380296	11831.500000	32901.796656	4.143667	1.641792	0.140000	100.000000
