A	m_avg	m_std	f_avg	f_std	z_avg	z_std	mc
400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2200	62.500000	1.190238	8597.083333	2962.834201	29.795000	2.686188	1.000000	12.000000
2300	60.228571	2.819176	7400.485714	3513.107216	29.033334	4.225028	0.914286	35.000000
2400	57.615385	3.971794	7713.673077	4585.130673	27.656962	4.952352	0.846154	52.000000
2500	55.154930	5.064786	7723.521127	5371.193524	26.207982	5.201198	0.830986	71.000000
2600	53.300000	6.348141	8417.333333	7020.994484	24.738836	5.417935	0.788889	90.000000
2700	49.819149	6.735051	8253.510638	7510.463374	22.522389	5.330582	0.787234	94.000000
2800	47.050505	7.077313	7873.636364	7178.701397	20.697811	4.960217	0.717172	99.000000
2900	44.020202	6.771867	7292.212121	6818.181363	19.105008	4.658885	0.757576	99.000000
3000	41.252525	6.393405	6718.959596	6440.802961	17.486532	4.525115	0.777778	99.000000
3100	38.929293	6.202399	6189.565657	6097.993532	16.472121	4.197129	0.656566	99.000000
3200	36.515152	6.082536	5687.151515	5741.138461	15.224746	4.254370	0.737374	99.000000
3300	34.550000	6.307733	5205.730000	5364.044721	14.376166	4.740645	0.620000	100.000000
3400	32.680000	6.506735	4750.760000	5012.010400	13.567857	4.905559	0.570000	100.000000
3500	30.880000	6.320253	4330.000000	4629.722940	12.780833	4.645139	0.530000	100.000000
3600	29.280000	6.054882	3968.340000	4365.676925	12.095000	4.365140	0.540000	100.000000
3700	27.590000	5.895922	3627.670000	4102.143420	11.221500	4.221275	0.530000	100.000000
3800	26.170000	5.575043	3301.490000	3846.996731	10.495000	3.847398	0.390000	100.000000
3900	25.130000	5.487540	2997.950000	3594.168770	10.008333	3.733436	0.430000	100.000000
4000	23.750000	5.146601	2732.240000	3366.042932	9.276000	3.442622	0.410000	100.000000
4100	22.650000	5.002749	2490.590000	3147.603271	8.760000	3.262099	0.320000	100.000000
4200	21.580000	4.812858	2273.070000	2966.136838	8.278333	3.249278	0.320000	100.000000
4300	20.680000	4.591035	2068.700000	2770.540538	7.824000	2.960680	0.290000	100.000000
4400	19.830000	4.541046	1866.090000	2535.153784	7.469167	2.661027	0.300000	100.000000
4500	18.950000	4.484139	1697.770000	2321.217685	7.150667	2.797024	0.250000	100.000000
4600	18.060000	4.413207	1550.780000	2146.100037	6.717333	2.734778	0.300000	100.000000
4700	17.410000	4.266368	1410.870000	1998.693013	6.555000	2.567971	0.200000	100.000000
4800	16.740000	4.316526	1270.130000	1813.647118	6.276667	2.491231	0.240000	100.000000
4900	16.100000	4.172529	1129.630000	1609.620990	6.064167	2.301294	0.240000	100.000000
5000	15.370000	3.999137	1012.110000	1415.871905	5.640333	2.181815	0.240000	100.000000
5100	14.880000	3.955452	902.090000	1254.565670	5.450833	2.215698	0.210000	100.000000
5200	14.360000	3.832806	795.810000	1097.910406	5.303333	2.114419	0.220000	100.000000
5300	13.870000	3.705820	705.490000	982.694775	5.097500	2.143856	0.130000	100.000000
5400	13.290000	3.493694	640.970000	902.277646	4.920833	1.950547	0.180000	100.000000
5500	12.840000	3.410924	582.570000	821.006894	4.771667	1.956564	0.110000	100.000000
5600	12.410000	3.262193	540.880000	774.672337	4.552500	1.822188	0.110000	100.000000
5700	11.970000	3.109518	497.290000	725.361482	4.340000	1.639939	0.110000	100.000000
5800	11.690000	3.090938	450.170000	650.706808	4.313333	1.639492	0.100000	100.000000
5900	11.320000	3.039342	402.060000	582.781863	4.170000	1.567195	0.100000	100.000000
6000	10.910000	3.000317	357.340000	511.267943	3.987500	1.512603	0.090000	100.000000
6100	10.510000	2.988294	321.760000	460.959760	3.853333	1.486472	0.070000	100.000000
6200	10.120000	2.919863	294.710000	433.082498	3.699000	1.474618	0.110000	100.000000
6300	9.790000	2.940391	265.780000	389.164875	3.455000	1.451025	0.050000	100.000000
6400	9.500000	2.903446	240.970000	335.367873	3.340000	1.483037	0.070000	100.000000
6500	9.200000	2.817801	211.670000	269.087012	3.292727	1.412142	0.050000	100.000000
6600	8.960000	2.785390	189.950000	234.884482	3.223333	1.399250	0.080000	100.000000
6700	8.770000	2.799482	174.330000	214.814571	3.194000	1.391389	0.070000	100.000000
6800	8.450000	2.797767	158.850000	197.349766	3.035000	1.355092	0.050000	100.000000
6900	8.230000	2.767147	144.650000	179.092630	3.015000	1.253904	0.040000	100.000000
7000	7.960000	2.686708	131.270000	160.858416	2.912500	1.287621	0.100000	100.000000
7100	7.660000	2.616180	118.530000	142.799650	2.830000	1.247437	0.040000	100.000000
7200	7.400000	2.521904	111.270000	136.480438	2.690000	1.157108	0.020000	100.000000
7300	7.200000	2.501999	102.110000	125.969361	2.620000	1.095719	0.020000	100.000000
7400	6.970000	2.410207	93.910000	117.337888	2.530000	1.050762	0.040000	100.000000
7500	6.820000	2.434666	85.960000	108.448836	2.535000	1.155974	0.050000	100.000000
7600	6.630000	2.419318	80.480000	102.288416	2.425833	1.103964	0.020000	100.000000
7700	6.450000	2.346806	74.710000	94.610834	2.385000	1.126621	0.040000	100.000000
7800	6.300000	2.278157	70.180000	88.064465	2.355000	1.084654	0.060000	100.000000
7900	6.180000	2.273236	66.320000	82.470237	2.340000	1.099727	0.020000	100.000000
8000	5.970000	2.264752	62.960000	81.616420	2.250000	1.061838	0.000000	100.000000
8100	5.800000	2.289105	60.270000	79.827439	2.152500	1.030713	0.010000	100.000000
8200	5.660000	2.259292	57.410000	77.756029	2.073333	0.989478	0.010000	100.000000
8300	5.530000	2.197521	54.370000	74.526640	2.022500	0.964427	0.030000	100.000000
8400	5.360000	2.128474	49.480000	67.421881	1.979000	0.889190	0.040000	100.000000
8500	5.240000	2.163885	45.510000	63.253933	1.961667	0.877451	0.030000	100.000000
8600	5.110000	2.134924	41.410000	59.425668	1.908333	0.890810	0.050000	100.000000
8700	4.970000	2.080649	38.040000	54.113307	1.878333	0.892828	0.040000	100.000000
8800	4.850000	2.021757	35.730000	50.025094	1.855000	0.881178	0.040000	100.000000
8900	4.740000	2.003098	33.690000	44.099206	1.810000	0.853756	0.020000	100.000000
9000	4.640000	2.027412	32.180000	41.350091	1.775000	0.855497	0.020000	100.000000
