A	m_avg	m_std	f_avg	f_std	z_avg	z_std	mc	samples
400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
3000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
3100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
3200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
3300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
3400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
3500	62.222222	1.872478	301632.888889	392675.803904	19.934022	4.399645	0.777778	9.000000
3600	61.000000	2.401922	276998.538462	172330.816175	19.404223	3.167253	1.000000	26.000000
3700	61.017857	2.615142	473180.785714	557798.007265	19.001130	3.435078	0.982143	56.000000
3800	60.092105	2.911762	509115.868421	478457.106913	18.447268	3.323991	0.947368	76.000000
3900	59.173913	3.255793	489649.173913	497769.508131	18.396105	3.130844	0.956522	92.000000
4000	57.010101	4.452885	465994.202020	574124.993985	17.424253	3.380732	0.949495	99.000000
4100	55.440000	5.250371	564864.510000	874232.577790	16.861538	3.544369	0.890000	100.000000
4200	54.240000	5.626935	496485.510000	562354.936206	16.020984	3.329159	0.890000	100.000000
4300	52.540000	5.942087	429972.330000	503047.450016	15.644128	3.362550	0.870000	100.000000
4400	51.860000	6.349835	422163.720000	482324.984375	15.718553	4.023675	0.800000	100.000000
4500	49.710000	6.476565	380921.270000	436789.379871	14.902647	3.939810	0.870000	100.000000
4600	47.330000	6.451442	338487.970000	396831.574460	14.172500	4.643742	0.840000	100.000000
4700	45.580000	5.909619	304529.550000	359390.409224	13.473990	4.284357	0.840000	100.000000
4800	44.290000	6.485823	294075.270000	348569.496527	13.008333	4.241945	0.770000	100.000000
4900	42.490000	6.509217	263624.830000	315038.255369	12.349762	4.062553	0.700000	100.000000
5000	40.910000	6.177532	235118.710000	284542.559537	11.887986	4.161050	0.660000	100.000000
5100	39.360000	6.095113	210066.110000	258118.827922	11.316666	4.087005	0.730000	100.000000
5200	37.890000	5.744380	187913.060000	235510.997422	10.795093	3.955999	0.610000	100.000000
5300	36.510000	5.754120	166584.100000	210871.063030	10.340694	3.854824	0.690000	100.000000
5400	35.190000	5.416078	147214.280000	188919.833682	9.854327	3.395029	0.590000	100.000000
5500	33.970000	5.208560	130623.830000	170781.083285	9.509262	3.215664	0.660000	100.000000
5600	32.820000	5.115428	117311.110000	156606.095876	9.217000	3.135572	0.670000	100.000000
5700	31.820000	5.006755	104361.320000	141332.823117	8.750500	2.930422	0.620000	100.000000
5800	30.970000	5.012893	92164.880000	127677.783048	8.552935	2.977527	0.540000	100.000000
5900	29.960000	4.874259	82004.080000	114293.772297	8.254286	2.941458	0.450000	100.000000
6000	29.020000	4.888722	73627.390000	102120.177325	8.022024	2.997930	0.420000	100.000000
6100	27.970000	4.672162	66346.460000	91854.513073	7.550000	2.714314	0.400000	100.000000
6200	27.180000	4.626835	59796.660000	84264.511702	7.280000	2.554721	0.490000	100.000000
6300	26.420000	4.647967	53790.750000	77710.734650	7.192000	2.579251	0.360000	100.000000
6400	25.720000	4.634825	47949.700000	71198.895441	6.849000	2.563601	0.410000	100.000000
6500	24.980000	4.538678	42671.560000	64413.640929	6.642667	2.534851	0.410000	100.000000
6600	24.290000	4.380171	37613.260000	57478.283301	6.444048	2.486666	0.360000	100.000000
6700	23.590000	4.345331	33493.790000	52191.278094	6.283750	2.528392	0.340000	100.000000
6800	22.900000	4.198809	29953.380000	47081.513674	6.090833	2.341150	0.340000	100.000000
6900	22.310000	4.134477	26149.570000	40847.485741	5.960833	2.103022	0.320000	100.000000
7000	21.770000	4.175775	22870.150000	35594.724733	5.892667	2.164453	0.300000	100.000000
7100	21.150000	3.948101	20325.700000	32271.483988	5.675333	2.144940	0.330000	100.000000
7200	20.540000	3.845569	18189.930000	29369.228648	5.488667	2.006701	0.320000	100.000000
7300	19.890000	3.781256	16139.450000	26587.566877	5.356667	1.975267	0.300000	100.000000
7400	19.250000	3.742659	13945.550000	21706.269283	5.165000	1.953273	0.240000	100.000000
7500	18.690000	3.662499	12504.110000	19778.546956	4.974583	2.005495	0.330000	100.000000
7600	18.200000	3.690528	11296.770000	18269.224993	4.815000	1.922115	0.240000	100.000000
7700	17.730000	3.577303	10183.870000	16757.112487	4.712381	1.989054	0.200000	100.000000
7800	17.310000	3.463221	9220.480000	15282.500141	4.625000	1.847126	0.230000	100.000000
7900	16.970000	3.371810	8185.970000	13665.296799	4.580000	1.769727	0.180000	100.000000
8000	16.550000	3.320768	7398.570000	12115.268241	4.456000	1.770216	0.130000	100.000000
8100	16.160000	3.366660	6640.250000	10840.300117	4.290000	1.789106	0.150000	100.000000
8200	15.830000	3.307733	5962.490000	9788.144254	4.190000	1.760369	0.130000	100.000000
8300	15.470000	3.254090	5336.770000	8768.117350	4.160000	1.711549	0.120000	100.000000
8400	15.040000	3.283047	4624.020000	7632.559018	4.045000	1.637216	0.100000	100.000000
8500	14.640000	3.306116	3935.940000	6546.529359	3.993333	1.686535	0.100000	100.000000
8600	14.250000	3.204294	3472.990000	5950.634566	3.856667	1.633167	0.080000	100.000000
8700	13.870000	3.116585	3127.940000	5532.913312	3.785000	1.595705	0.050000	100.000000
8800	13.540000	2.940816	2787.240000	5095.296986	3.695000	1.532800	0.100000	100.000000
8900	13.310000	2.907559	2551.470000	4745.439424	3.625000	1.523770	0.120000	100.000000
9000	12.990000	2.944469	2336.620000	4449.810814	3.533333	1.518223	0.090000	100.000000
