A	m_avg	m_std	f_avg	f_std	z_avg	z_std	mc	samples
400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
700	60.357143	3.714972	148.928571	33.131772	51.857143	4.340131	0.071429	14.000000
800	58.096774	4.581554	123.752688	39.983330	51.301075	5.709424	0.075269	93.000000
900	53.202020	6.469790	109.313131	36.839949	47.005051	7.476730	0.030303	99.000000
1000	46.230000	6.661614	97.290000	33.669868	40.335000	7.728213	0.050000	100.000000
1100	40.210000	6.765050	90.060000	34.041445	34.386667	7.655496	0.100000	100.000000
1200	34.750000	6.369262	82.240000	33.267702	29.096667	7.246271	0.100000	100.000000
1300	30.480000	6.072034	75.740000	32.531369	25.013334	6.919204	0.100000	100.000000
1400	26.350000	5.609590	69.600000	32.094236	21.068334	6.293519	0.090000	100.000000
1500	23.140000	4.878565	63.780000	30.747845	18.053334	5.367592	0.080000	100.000000
1600	20.770000	4.388291	58.730000	29.207020	15.918667	4.772620	0.060000	100.000000
1700	18.830000	4.240413	54.350000	27.626980	14.186667	4.483444	0.070000	100.000000
1800	17.130000	4.170504	49.930000	26.428583	12.781667	4.205070	0.050000	100.000000
1900	15.470000	3.861230	45.620000	24.892971	11.376667	3.739178	0.070000	100.000000
2000	14.000000	3.622154	41.960000	23.598093	10.070000	3.455445	0.080000	100.000000
2100	12.850000	3.496784	38.130000	21.947893	9.085000	3.357123	0.070000	100.000000
2200	11.800000	3.498571	34.870000	20.608493	8.270000	3.285894	0.070000	100.000000
2300	10.870000	3.236217	31.950000	19.551982	7.500000	2.915476	0.080000	100.000000
2400	10.030000	3.195168	29.020000	18.347479	6.890000	2.843923	0.070000	100.000000
2500	9.210000	2.953963	26.620000	17.407182	6.247500	2.623332	0.050000	100.000000
2600	8.520000	2.937618	24.150000	16.714365	5.790000	2.504177	0.020000	100.000000
2700	7.820000	2.991254	22.210000	16.140322	5.225000	2.478281	0.060000	100.000000
2800	7.310000	3.025541	20.500000	15.220381	4.830000	2.480141	0.050000	100.000000
2900	6.870000	2.924568	19.120000	14.526527	4.481667	2.342707	0.040000	100.000000
3000	6.400000	2.756810	17.530000	13.799275	4.171667	2.257021	0.030000	100.000000
3100	6.050000	2.635811	16.040000	13.067134	3.945000	2.120018	0.040000	100.000000
3200	5.640000	2.488051	14.760000	12.432618	3.690000	1.984666	0.020000	100.000000
3300	5.260000	2.352105	13.780000	11.894116	3.380000	1.842715	0.000000	100.000000
3400	5.000000	2.289105	12.810000	11.153026	3.215000	1.742491	0.010000	100.000000
3500	4.770000	2.217453	11.720000	10.214206	3.120000	1.752313	0.020000	100.000000
3600	4.490000	2.027289	11.100000	9.958916	2.880000	1.565439	0.020000	100.000000
3700	4.200000	1.979899	10.470000	9.797449	2.648333	1.475333	0.020000	100.000000
3800	4.100000	1.957039	10.440000	11.171392	2.595000	1.366922	0.020000	100.000000
3900	3.960000	1.969365	9.780000	10.734990	2.570000	1.491677	0.020000	100.000000
4000	3.740000	1.836410	8.640000	8.859458	2.477000	1.426664	0.020000	100.000000
4100	3.510000	1.791619	7.920000	8.046117	2.295000	1.313573	0.010000	100.000000
4200	3.400000	1.737815	7.610000	7.983107	2.230000	1.257816	0.020000	100.000000
4300	3.260000	1.718255	7.170000	7.747258	2.115000	1.240675	0.010000	100.000000
4400	3.170000	1.691479	6.830000	7.378347	2.060000	1.173201	0.000000	100.000000
4500	3.060000	1.592608	6.470000	7.085196	1.985000	1.091913	0.010000	100.000000
4600	2.960000	1.567929	6.200000	6.809552	1.891667	1.108897	0.030000	100.000000
4700	2.840000	1.527874	5.790000	6.450581	1.855000	1.103191	0.030000	100.000000
4800	2.770000	1.488993	5.560000	6.098360	1.790000	1.063438	0.020000	100.000000
4900	2.730000	1.448137	5.370000	5.678908	1.775000	1.020723	0.010000	100.000000
5000	2.640000	1.374918	5.070000	5.241183	1.725000	0.941740	0.010000	100.000000
5100	2.570000	1.387480	4.870000	4.905099	1.685000	0.971223	0.010000	100.000000
5200	2.520000	1.352627	4.690000	4.568370	1.660000	0.950999	0.000000	100.000000
5300	2.450000	1.321930	4.380000	4.255585	1.645000	0.920041	0.010000	100.000000
5400	2.340000	1.274520	4.080000	4.130375	1.585000	0.842778	0.010000	100.000000
5500	2.290000	1.267241	3.950000	4.003748	1.560000	0.875443	0.000000	100.000000
5600	2.230000	1.207104	3.790000	3.944617	1.535000	0.803912	0.010000	100.000000
5700	2.250000	1.186381	3.850000	3.925557	1.520000	0.793473	0.000000	100.000000
5800	2.150000	1.169402	3.590000	3.837968	1.490000	0.830602	0.000000	100.000000
5900	2.130000	1.163228	3.470000	3.803945	1.500000	0.818535	0.000000	100.000000
6000	2.070000	1.088623	3.270000	3.536948	1.460000	0.792717	0.000000	100.000000
6100	1.990000	1.034360	3.030000	2.976575	1.420000	0.750733	0.000000	100.000000
6200	1.940000	0.967678	2.940000	2.753180	1.395000	0.704610	0.010000	100.000000
6300	1.890000	0.958071	2.860000	2.738613	1.340000	0.695989	0.000000	100.000000
6400	1.840000	0.935094	2.750000	2.749545	1.310000	0.688404	0.000000	100.000000
6500	1.810000	0.924067	2.690000	2.666458	1.305000	0.655343	0.010000	100.000000
6600	1.760000	0.917824	2.600000	2.670206	1.270000	0.630159	0.000000	100.000000
6700	1.720000	0.928224	2.630000	3.028201	1.260000	0.521920	0.000000	100.000000
6800	1.690000	0.891011	2.560000	2.930870	1.225000	0.501871	0.010000	100.000000
6900	1.660000	0.896883	2.470000	2.887906	1.220000	0.501597	0.000000	100.000000
7000	1.610000	0.835404	2.360000	2.725803	1.195000	0.463114	0.010000	100.000000
7100	1.530000	0.767529	2.150000	2.177154	1.145000	0.425999	0.010000	100.000000
7200	1.530000	0.767529	2.110000	2.133073	1.170000	0.448442	0.000000	100.000000
7300	1.490000	0.727942	2.050000	2.114237	1.140000	0.400500	0.000000	100.000000
7400	1.450000	0.712390	1.980000	2.022375	1.120000	0.381576	0.000000	100.000000
7500	1.420000	0.666033	1.940000	1.979899	1.090000	0.319218	0.000000	100.000000
7600	1.494949	0.783333	2.040404	2.418364	1.181818	0.519589	0.000000	99.000000
7700	1.474747	0.782942	1.989899	2.132007	1.161616	0.506664	0.000000	99.000000
7800	1.454545	0.742270	1.909091	1.763834	1.161616	0.506664	0.000000	99.000000
7900	1.434343	0.726992	1.878788	1.763834	1.151515	0.479133	0.000000	99.000000
8000	1.424242	0.697628	1.868687	1.755223	1.141414	0.426641	0.000000	99.000000
8100	1.393939	0.663906	1.828283	1.760969	1.121212	0.355980	0.000000	99.000000
8200	1.373737	0.660362	1.808081	1.763834	1.101010	0.333180	0.000000	99.000000
8300	1.363636	0.658350	1.787879	1.760969	1.101010	0.333180	0.000000	99.000000
8400	1.353535	0.640598	1.747475	1.687745	1.101010	0.333180	0.000000	99.000000
8500	1.418367	0.683978	1.887755	1.717259	1.102041	0.363930	0.000000	98.000000
8600	1.428571	0.670059	1.908163	1.696335	1.091837	0.352447	0.000000	98.000000
8700	1.408163	0.636264	1.826531	1.324803	1.091837	0.352447	0.000000	98.000000
8800	1.438776	0.639935	1.918367	1.403349	1.081633	0.308832	0.000000	98.000000
8900	1.428571	0.606092	1.867347	1.190952	1.081633	0.308832	0.000000	98.000000
9000	1.408163	0.603337	1.846939	1.190952	1.061224	0.279077	0.000000	98.000000
