A	m_avg	m_std	f_avg	f_std	z_avg	z_std	mc	samples
400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1600	62.333333	0.942809	1933.333333	1255.834517	37.666667	4.189935	0.666667	3.000000
1700	61.714286	2.008147	2975.514286	2172.083470	35.261906	4.078843	0.685714	35.000000
1800	60.430233	3.097413	2437.581395	1970.386342	35.297674	4.947026	0.674419	86.000000
1900	57.565657	4.082883	2202.797980	1779.585283	33.681144	5.030737	0.646465	99.000000
2000	53.970000	4.769602	2094.390000	1647.243932	30.891000	4.509656	0.680000	100.000000
2100	51.020000	5.882142	2101.500000	1618.283529	28.803890	5.353564	0.630000	100.000000
2200	47.140000	6.590933	1904.310000	1469.724301	25.923333	5.774113	0.610000	100.000000
2300	44.200000	7.181922	1864.670000	1468.944839	23.870574	5.902676	0.600000	100.000000
2400	40.620000	6.640452	1701.140000	1346.727552	21.475596	5.395040	0.500000	100.000000
2500	37.720000	6.431298	1577.300000	1240.394873	19.603333	5.175841	0.560000	100.000000
2600	34.840000	6.037748	1445.140000	1145.196367	17.652917	4.845578	0.430000	100.000000
2700	32.240000	5.884080	1329.450000	1064.180859	16.061167	4.720600	0.480000	100.000000
2800	29.900000	5.593747	1238.680000	1002.386607	14.557619	4.264736	0.410000	100.000000
2900	28.330000	6.459187	1128.850000	928.834210	13.772929	5.485570	0.500000	100.000000
3000	26.480000	6.004132	1033.430000	862.925240	12.625110	5.084089	0.450000	100.000000
3100	25.110000	5.868381	942.110000	796.848844	11.858333	4.951957	0.470000	100.000000
3200	23.530000	5.657659	859.060000	732.407680	11.025000	4.791565	0.380000	100.000000
3300	22.140000	5.495489	784.900000	673.198336	10.216818	4.475863	0.400000	100.000000
3400	21.050000	5.441277	711.030000	614.992854	9.689667	4.502774	0.340000	100.000000
3500	19.870000	5.283285	649.360000	574.384462	9.064167	4.385564	0.360000	100.000000
3600	18.800000	5.268776	591.720000	536.326626	8.568333	4.245854	0.300000	100.000000
3700	17.690000	4.985369	543.540000	502.969005	7.906667	4.053004	0.270000	100.000000
3800	16.880000	4.617965	497.350000	467.102430	7.473333	3.648190	0.320000	100.000000
3900	16.210000	4.563540	446.470000	427.986121	7.132000	3.609013	0.260000	100.000000
4000	15.320000	4.435944	400.640000	394.731972	6.705000	3.440273	0.240000	100.000000
4100	14.550000	4.311322	362.690000	362.224268	6.331667	3.228992	0.220000	100.000000
4200	13.810000	4.189737	331.070000	330.582153	6.008333	3.211730	0.240000	100.000000
4300	13.230000	4.069042	302.830000	303.973239	5.728333	3.014286	0.190000	100.000000
4400	12.760000	3.942385	275.330000	282.362480	5.470000	2.780126	0.160000	100.000000
4500	12.220000	3.998950	252.010000	264.806665	5.255000	2.904733	0.130000	100.000000
4600	11.670000	3.967506	230.720000	248.405918	4.970000	2.802517	0.130000	100.000000
4700	11.250000	3.821976	210.640000	231.482008	4.805000	2.653201	0.090000	100.000000
4800	10.790000	3.750453	190.870000	211.632275	4.555333	2.503487	0.110000	100.000000
4900	10.410000	3.622416	174.660000	195.506624	4.447667	2.322840	0.140000	100.000000
5000	9.970000	3.453853	160.040000	182.575217	4.256000	2.230261	0.160000	100.000000
5100	9.650000	3.409912	146.590000	168.989733	4.090000	2.215654	0.090000	100.000000
5200	9.300000	3.306055	131.990000	154.978837	3.906667	2.160159	0.160000	100.000000
5300	9.020000	3.243393	121.840000	147.743460	3.883333	2.066331	0.130000	100.000000
5400	8.630000	3.035309	109.730000	136.757413	3.793333	1.904398	0.090000	100.000000
5500	8.310000	3.005645	101.100000	130.039802	3.673333	1.887520	0.090000	100.000000
5600	8.010000	2.833708	93.720000	121.096614	3.550000	1.663580	0.080000	100.000000
5700	7.690000	2.697017	86.770000	108.834002	3.310000	1.534242	0.070000	100.000000
5800	7.480000	2.632413	80.260000	100.917342	3.260000	1.512415	0.030000	100.000000
5900	7.280000	2.709539	74.120000	93.831658	3.205000	1.542879	0.050000	100.000000
6000	7.010000	2.688847	67.100000	82.234786	3.060000	1.500467	0.050000	100.000000
6100	6.740000	2.632945	61.480000	75.201995	2.965000	1.465017	0.050000	100.000000
6200	6.500000	2.609598	57.460000	70.888010	2.855000	1.463378	0.030000	100.000000
6300	6.320000	2.584105	53.410000	65.893778	2.721667	1.447038	0.030000	100.000000
6400	6.150000	2.578275	50.500000	63.564455	2.665000	1.474881	0.040000	100.000000
6500	5.970000	2.515770	46.450000	60.079198	2.615000	1.379955	0.010000	100.000000
6600	5.780000	2.508306	42.870000	57.159689	2.520000	1.380072	0.030000	100.000000
6700	5.660000	2.530692	39.470000	52.625184	2.508333	1.415465	0.050000	100.000000
6800	5.470000	2.503817	36.540000	48.242098	2.440000	1.380724	0.000000	100.000000
6900	5.360000	2.471922	33.670000	44.148952	2.415000	1.309685	0.030000	100.000000
7000	5.190000	2.440061	30.940000	38.935331	2.365000	1.268572	0.030000	100.000000
7100	5.000000	2.408319	28.640000	36.388735	2.312500	1.344607	0.020000	100.000000
7200	4.810000	2.283397	27.190000	35.329874	2.175000	1.196610	0.030000	100.000000
7300	4.630000	2.225556	25.450000	32.870351	2.068333	1.178534	0.040000	100.000000
7400	4.470000	2.099786	23.800000	31.188139	1.988333	1.098548	0.040000	100.000000
7500	4.420000	2.050268	22.390000	29.107731	2.010000	1.124678	0.020000	100.000000
7600	4.320000	2.048805	21.200000	27.560842	1.970000	1.083559	0.020000	100.000000
7700	4.220000	2.047340	20.360000	26.373282	1.940000	1.129779	0.000000	100.000000
7800	4.130000	1.983204	19.420000	25.150348	1.895000	1.082347	0.020000	100.000000
7900	4.110000	1.964154	19.340000	25.176179	1.880000	1.070327	0.010000	100.000000
8000	3.990000	1.926110	18.320000	24.414545	1.840000	1.065082	0.000000	100.000000
8100	3.870000	1.926941	17.840000	24.105808	1.750000	0.993730	0.000000	100.000000
8200	3.820000	1.909869	16.900000	21.726482	1.730000	0.957653	0.000000	100.000000
8300	3.750000	1.872832	15.910000	20.020989	1.700000	0.951315	0.020000	100.000000
8400	3.620000	1.864296	14.940000	19.045472	1.665000	0.927510	0.010000	100.000000
8500	3.560000	1.856448	14.450000	18.529976	1.635000	0.910645	0.010000	100.000000
8600	3.510000	1.808286	13.990000	17.796629	1.593333	0.882648	0.010000	100.000000
8700	3.470000	1.774570	13.120000	15.465769	1.615000	0.902372	0.010000	100.000000
8800	3.370000	1.683182	12.250000	14.803378	1.595000	0.882312	0.010000	100.000000
8900	3.320000	1.624069	11.630000	13.997500	1.575000	0.872855	0.010000	100.000000
9000	3.270000	1.636185	11.440000	13.919770	1.530000	0.830120	0.010000	100.000000
