A	m_avg	m_std	f_avg	f_std	z_avg	z_std	mc	samples
400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
1900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0
2900	61.000000	1.224745	63209.500000	36673.178353	22.597825	2.605683	1.000000	4.000000
3000	60.333333	3.366502	115150.000000	71940.471652	20.416667	2.315407	1.000000	9.000000
3100	61.225806	2.720409	98069.709677	90830.300956	22.302571	2.994886	0.935484	31.000000
3200	60.472727	3.144141	110945.418182	116394.704606	21.545024	3.520326	1.000000	55.000000
3300	60.393258	2.882017	123561.977528	121344.747489	21.032111	3.551435	0.921348	89.000000
3400	58.156250	4.472900	120590.572917	118263.132621	20.247268	3.089166	0.895833	96.000000
3500	57.171717	5.031297	147820.080808	223581.992813	20.114451	3.768279	0.979798	99.000000
3600	55.333333	5.502984	146459.090909	187664.243479	19.300987	4.066222	0.919192	99.000000
3700	53.240000	6.264375	134478.530000	164213.051456	18.534974	4.592798	0.920000	100.000000
3800	50.990000	6.542927	130742.140000	155086.377729	17.135860	4.173737	0.880000	100.000000
3900	49.130000	6.936361	116810.330000	145160.254177	16.584167	4.437365	0.850000	100.000000
4000	46.780000	6.840439	115901.980000	143684.806768	15.397333	4.118921	0.780000	100.000000
4100	45.040000	7.159497	105621.270000	142039.084665	14.727056	4.067467	0.800000	100.000000
4200	42.920000	7.124156	95317.190000	132541.380802	14.028576	4.841176	0.820000	100.000000
4300	41.340000	7.037357	98303.990000	172910.227251	13.263649	4.306599	0.780000	100.000000
4400	39.760000	6.738130	88856.570000	159360.775661	12.833214	3.834969	0.790000	100.000000
4500	38.000000	6.676826	80717.890000	147019.388704	12.202017	3.840479	0.760000	100.000000
4600	36.140000	6.574222	73496.780000	135290.619986	11.450302	3.946730	0.710000	100.000000
4700	34.780000	6.257124	66765.550000	123128.953768	10.960833	3.707003	0.620000	100.000000
4800	33.510000	6.287281	60420.850000	112019.785773	10.506515	3.719083	0.610000	100.000000
4900	32.290000	6.320277	54413.410000	100431.754940	10.101742	3.654336	0.680000	100.000000
5000	31.010000	5.915226	48742.610000	88700.147696	9.650333	3.586374	0.570000	100.000000
5100	29.890000	5.926036	43829.430000	80093.492927	9.259841	3.551294	0.520000	100.000000
5200	28.760000	5.653530	39658.580000	74297.350226	8.863889	3.378202	0.480000	100.000000
5300	27.740000	5.663250	35647.580000	67914.454628	8.567243	3.287843	0.520000	100.000000
5400	26.720000	5.379740	31595.950000	60416.165575	8.164667	2.890051	0.410000	100.000000
5500	25.760000	5.249990	27974.680000	52950.193025	7.780000	2.820745	0.410000	100.000000
5600	24.890000	5.143724	24620.100000	46325.645211	7.430000	2.729487	0.410000	100.000000
5700	24.100000	5.006995	22091.160000	41928.894211	7.030000	2.534581	0.460000	100.000000
5800	23.480000	4.958790	19432.650000	36838.915458	6.935000	2.596782	0.410000	100.000000
5900	22.720000	4.802249	16978.490000	31724.950050	6.645000	2.542052	0.330000	100.000000
6000	22.040000	4.857818	15235.370000	28814.010623	6.521667	2.503182	0.340000	100.000000
6100	21.240000	4.705571	13790.010000	26338.938165	6.208333	2.296147	0.280000	100.000000
6200	20.590000	4.677809	12498.190000	24408.403688	5.960000	2.217872	0.230000	100.000000
6300	20.000000	4.636809	11232.790000	21953.541017	5.733333	2.195070	0.250000	100.000000
6400	19.430000	4.637359	9889.940000	19246.897618	5.485000	2.180226	0.300000	100.000000
6500	18.940000	4.549330	8646.250000	16669.995124	5.368667	2.187550	0.300000	100.000000
6600	18.340000	4.373145	7637.520000	14437.537250	5.242500	2.156808	0.200000	100.000000
6700	17.790000	4.352689	6798.170000	12770.105808	5.100000	2.167948	0.190000	100.000000
6800	17.280000	4.278037	5988.110000	11114.401651	4.930000	2.048194	0.250000	100.000000
6900	16.840000	4.192183	5259.520000	9701.898165	4.855000	1.879222	0.230000	100.000000
7000	16.410000	4.161959	4606.850000	8703.277149	4.786667	1.890779	0.220000	100.000000
7100	15.900000	4.006245	4118.550000	8086.256011	4.642500	1.879579	0.160000	100.000000
7200	15.390000	3.854595	3628.420000	7183.650262	4.405000	1.715656	0.170000	100.000000
7300	14.930000	3.715521	3150.020000	6144.109920	4.332500	1.711744	0.200000	100.000000
7400	14.430000	3.707438	2799.250000	5376.471931	4.228333	1.687644	0.220000	100.000000
7500	14.050000	3.578757	2594.260000	5042.938562	4.125833	1.761411	0.100000	100.000000
7600	13.720000	3.619613	2363.650000	4756.269746	4.020385	1.712955	0.120000	100.000000
7700	13.380000	3.480747	2173.070000	4482.023783	3.965000	1.762935	0.130000	100.000000
7800	13.050000	3.365635	2002.160000	4169.119394	3.936667	1.619290	0.060000	100.000000
7900	12.770000	3.349194	1844.080000	3853.672425	3.825000	1.600586	0.060000	100.000000
8000	12.430000	3.244241	1703.490000	3561.151018	3.638333	1.550637	0.090000	100.000000
8100	12.120000	3.225771	1525.030000	3047.888074	3.515000	1.499091	0.100000	100.000000
8200	11.840000	3.167712	1387.440000	2727.133458	3.405000	1.527572	0.090000	100.000000
8300	11.580000	3.079545	1247.470000	2420.978187	3.385000	1.511382	0.070000	100.000000
8400	11.230000	3.071986	1129.690000	2242.628580	3.260000	1.446513	0.020000	100.000000
8500	10.920000	3.116665	960.200000	1794.635177	3.105000	1.456528	0.060000	100.000000
8600	10.630000	3.025409	846.890000	1584.589934	3.065000	1.431180	0.060000	100.000000
8700	10.360000	3.008388	781.580000	1475.063460	3.000000	1.449138	0.030000	100.000000
8800	10.150000	2.889204	703.070000	1317.826373	2.930000	1.430070	0.020000	100.000000
8900	9.950000	2.836812	635.850000	1188.322831	2.914333	1.378117	0.070000	100.000000
9000	9.690000	2.890311	584.160000	1082.944177	2.812000	1.388184	0.070000	100.000000
